2018	猛虫过江	6	2.03
2018	祖宗十九代	2	1.69
2018	大头儿子小头爸爸3俄罗斯奇遇记	5	1.58
2018	欧洲攻略	8	1.53
2018	云南虫谷	12	1.5
2018	大师兄	8	1.46
2018	叶问外传张天志	12	1.31
2018	新乌龙院之笑傲江湖	8	1.3
2018	天气预报	12	1.23
2018	风语咒	8	1.12
2018	21克拉	4	1.1
2018	神秘世界历险记4	8	1.04
2018	幸福马上来	6	1.01
2018	浴血广昌	8	1
2019	哪吒之魔童降世	7	50.35
2019	流浪地球	2	46.87
2019	我和我的祖国	9	31.7
2019	中国机长	9	29.13
2019	疯狂的外星人	2	22.13
2019	飞驰人生	2	17.28
2019	烈火英雄	8	17.06
2019	少年的你	10	15.58
2019	误杀	12	13.33
2019	扫毒2天地对决	7	13.12
2019	叶问4完结篇	12	11.81
2019	攀登者	9	11.04
2019	银河补习班	7	8.78
2019	反贪风暴4	4	7.99
2019	熊出没原始时代	2	7.17
2019	使徒行者2谍影行动	8	7.02
2019	宠爱	12	6.83
2019	新喜剧之王	2	6.27
2019	白蛇缘起	1	4.69
2019	最好的我们	6	4.17
2019	诛仙1	9	4.05
2019	大人物	1	3.8
2019	老师好	3	3.55
2019	罗小黑战记	9	3.15
2019	追龙2	6	3.09
2019	小小的愿望	9	2.86
2019	我为你牺牲	12	2.48
2019	大约在冬季	11	2.27
2019	两只老虎	11	2.24
2019	受益人	11	2.19
2019	南方车站的聚会	12	2.02
2019	半个喜剧	12	1.88
2019	沉默的证人	8	1.81
2019	一吻定情	2	1.73
2019	天火	12	1.7
2019	神探蒲松龄	2	1.6
2019	只有芸知道	12	1.59
2019	下一任前任	5	1.39
2019	小猪佩奇过大年	2	1.25
2019	决胜时刻	9	1.24
2019	廉政风云	2	1.24
2019	上海堡垒	8	1.23
2019	小Q	9	1.13
2019	鼠胆英雄	8	1.01
2019	催眠裁决	10	1
2020	八佰	8	31.1
2020	我和我的家乡	10	28.29
2020	姜子牙	10	16.03
2020	送你一朵小红花	12	14.32
2020	拆弹专家2	12	13.14
2020	金刚川	10	11.27
2020	温暖的抱抱	12	8.64
2020	夺冠	9	8.36
2020	除暴	11	5.38
2020	我在时间尽头等你	8	5.05
2020	紧急救援	12	4.85
2020	晴雅集	12	4.51
2020	沐浴之王	12	4.04
2020	如果声音不记得	12	3.34
2020	一点就到家	10	3.12
2020	急先锋	9	2.94
2020	赤狐书生	12	1.85
2020	一秒钟	11	1.31
2020	喜宝	10	1.13
2021	长津湖	9	57.75
2021	你好李焕英	2	54.13
2021	唐人街探案3	2	45.23
2021	我和我的父辈	9	14.77
2021	怒火重案	7	13.29
2021	中国医生	7	13.28
2021	悬崖之上	4	11.91
2021	误杀2	12	11.21
2021	刺杀小说家	2	10.35
2021	穿过寒冬拥抱你	12	9.36
2021	扬名立万	11	9.26
2021	我的姐姐	4	8.6
2021	你的婚礼	4	8.22
2021	人潮汹涌	2	7.62
2021	反贪风暴5最终章	12	6.28
2021	熊出没狂野大陆	2	5.95
2021	白蛇2青蛇劫起	7	5.8
2021	1921	7	5.04
2021	新神榜哪吒重生	2	4.56
2021	峰爆	9	4.38
2021	古董局中局	12	4.29
2021	扫黑决战	5	4.05
2021	盛夏未来	7	3.86
2021	我要我们在一起	5	3.81
2021	侍神令	2	2.73
2021	爱情神话	12	2.6
2021	雄狮少年	12	2.49
2021	追虎擒龙	5	2.43
2021	门锁	11	2.42
2021	大红包	1	2.35
2021	以年为单位的恋爱	12	2.31
2021	秘密访客	5	2.14
2021	燃野少年的天空	7	1.61
2021	关于我妈的一切	9	1.5
2021	了不起的爸爸	6	1.48
2021	超越	6	1.42
2021	铁道英雄	11	1.42
2021	守岛人	6	1.38
2021	革命者	7	1.36
2021	西游记之再世妖王	4	1.14
2021	缉魂	1	1.11
2021	跨过鸭绿江	12	1.04
2022	长津湖之水门桥	2	40.67
2022	独行月球	7	31.03
2022	这个杀手不太冷静	2	26.27
2022	人生大事	6	17.13
2022	万里归途	9	15.93
2022	奇迹笨小孩	2	13.79
2022	熊出没重返地球	2	9.77
2022	神探大战	7	7.12
2022	明日战记	8	6.79
