2019	使徒行者2谍影行动	7.02
2019	宠爱	6.83
2019	新喜剧之王	6.27
2019	白蛇缘起	4.69
2019	最好的我们	4.17
2019	诛仙1	4.05
2019	大人物	3.8
2019	老师好	3.55
2019	罗小黑战记	3.15
2019	追龙2	3.09
2019	小小的愿望	2.86
2019	我为你牺牲	2.48
2019	大约在冬季	2.27
2019	两只老虎	2.24
2019	受益人	2.19
2019	南方车站的聚会	2.02
2019	半个喜剧	1.88
2019	沉默的证人	1.81
2019	一吻定情	1.73
2019	天火	1.7
2019	神探蒲松龄	1.6
2019	只有芸知道	1.59
2019	下一任前任	1.39
2019	小猪佩奇过大年	1.25
2019	决胜时刻	1.24
2019	廉政风云	1.24
2019	上海堡垒	1.23
2019	小Q	1.13
2019	鼠胆英雄	1.01
2019	催眠裁决	1
2020	八佰	31.1
2020	我和我的家乡	28.29
2020	姜子牙	16.03
2020	送你一朵小红花	14.32
2020	拆弹专家2	13.14
2020	金刚川	11.27
2020	温暖的抱抱	8.64
2020	夺冠	8.36
2020	除暴	5.38
2020	我在时间尽头等你	5.05
2020	紧急救援	4.85
2020	晴雅集	4.51
2020	沐浴之王	4.04
2020	如果声音不记得	3.34
2020	一点就到家	3.12
2020	急先锋	2.94
2020	赤狐书生	1.85
2020	一秒钟	1.31
2020	喜宝	1.13
2021	长津湖	57.75
2021	你好李焕英	54.13
2021	唐人街探案3	45.23
2021	我和我的父辈	14.77
2021	怒火重案	13.29
2021	中国医生	13.28
2021	悬崖之上	11.91
2021	误杀2	11.21
2021	刺杀小说家	10.35
2021	穿过寒冬拥抱你	9.36
2021	扬名立万	9.26
2021	我的姐姐	8.6
2021	你的婚礼	8.22
2021	人潮汹涌	7.62
2021	反贪风暴5最终章	6.28
2021	熊出没狂野大陆	5.95
2021	白蛇2青蛇劫起	5.8
2021	1921	5.04
2021	新神榜哪吒重生	4.56
2021	峰爆	4.38
2021	古董局中局	4.29
2021	扫黑决战	4.05
2021	盛夏未来	3.86
2021	我要我们在一起	3.81
2021	侍神令	2.73
2021	爱情神话	2.6
2021	雄狮少年	2.49
2021	追虎擒龙	2.43
2021	门锁	2.42
2021	大红包	2.35
2021	以年为单位的恋爱	2.31
2021	秘密访客	2.14
2021	燃野少年的天空	1.61
2021	关于我妈的一切	1.5
2021	了不起的爸爸	1.48
2021	超越	1.42
2021	铁道英雄	1.42
2021	守岛人	1.38
2021	革命者	1.36
2021	西游记之再世妖王	1.14
2021	缉魂	1.11
2021	跨过鸭绿江	1.04
2022	长津湖之水门桥	40.67
2022	独行月球	31.03
2022	这个杀手不太冷静	26.27
2022	人生大事	17.13
2022	万里归途	15.93
2022	奇迹笨小孩	13.79
2022	熊出没重返地球	9.77
2022	神探大战	7.12
2022	明日战记	6.79
2022	阻击手	6.08
2022	新神榜杨戬	5.55
2022	哥你好	5.47
2022	四海	5.42
2022	李茂扮太子	4.62
2022	相见你	4.03
2022	绝望主夫	3.13
2022	断桥	2.32
2022	外太空的莫扎特	2.23
2022	平凡英雄	2.22
2022	扫黑行动	1.74
2022	十年一品温如言	1.67
2022	边缘行者	1.66
2022	我是真的讨厌异地恋	1.65
2022	喜羊羊与灰太狼之筐出未来	1.6
2022	暗恋橘生淮南	1.35
2022	一周的朋友	1.21
2022	好想去你的世界爱你	1.1
2022	隐入尘烟	1.09
2022	钢铁意志	1.03
2023	满江红	45.44
2023	流浪地球2	40.43
2023	孤注一掷	38.49
2023	消失的她	35.23
2023	封神第一部	26.36
2023	八角笼中	22.07
2023	长安三万里	18.24
2023	熊出没伴我熊芯	14.95
2023	坚如磐石	13.51
2023	年会不能停	12.92
2023	人生路不熟	11.84
2023	前任4英年早婚	10.12
2023	热烈	9.33
2023	无名	9.31
2023	深海	9.19
2023	志愿军雄兵出击	8.68
2023	长空之王	8.5
2023	三大队	7.05
2023	一闪一闪亮晶晶	7.02
2023	保你平安	7
2023	莫斯科行动	6.64
2023	学爸	6.14
2023	金手指	5.74
2023	拯救嫌疑人	5.69
2023	涉过愤怒的海	5.49
2023	第八个嫌疑人	4.39
2023	我爱你	4.27
